src,dst,weight
上用 みどり,奥田 将生,28
岡崎 直人,木崎 康造,21
木田 建次,森村 茂,21
中沢 伸重,伊藤 俊彦,18
小泉 武夫,角田 潔和,18
伊藤 俊彦,岩野 君夫,18
中沢 伸重,岩野 君夫,18
奥田 将生,橋爪 克己,17
岩田 博,磯谷 敦子,17
奥田 将生,後藤 奈美,15
上用 みどり,後藤 奈美,15
福田 央,韓 錦順,15
小林 信也,岡崎 直人,15
吉沢 淑,高橋 康次郎,14
磯谷 敦子,神田 涼子,13
岡崎 直人,石川 雄章,13
下飯 仁,蓼沼 誠,13
宇都宮 仁,磯谷 敦子,13
岩野 君夫,高橋 仁,13
小林 信也,木崎 康造,13
下飯 仁,家藤 治幸,12
下飯 仁,佐藤 俊一,12
三上 重明,岩野 君夫,12
二神 泰基,玉置 尚徳,12
清川 良文,若井 芳則,12
佐藤 俊一,蓼沼 誠,12
中田 久保,穂坂 賢,12
吉田 清,稲橋 正明,12
奥田 将生,沼田 美子代,12
吉﨑 由美子,玉置 尚徳,12
中沢 伸重,高橋 仁,11
玉置 尚徳,髙峯 和則,11
中里 厚実,門倉 利守,11
宇都宮 仁,岩田 博,11
小泉 武夫,進藤 斉,11
瀬戸口 智子,神渡 巧,11
伊藤 俊彦,高橋 仁,11
吉﨑 由美子,髙峯 和則,11
山田 修,韓 錦順,10
吉﨑 由美子,奥津 果優,10
佐藤 和夫,吉沢 淑,10
原 昌道,吉沢 淑,10
奥津 果優,玉置 尚徳,10
下田 雅彦,大森 俊郎,10
家藤 治幸,蓼沼 誠,10
山本 英樹,水谷 政美,10
奥津 果優,髙峯 和則,10
本馬 健光,浜地 正昭,10
佐藤 俊一,家藤 治幸,10
山田 修,福田 央,10
角田 潔和,進藤 斉,10
山田 修,金井 宗良,10
山田 修,水谷 治,9
伊藤 彰敏,西田 淑男,9
三上 重明,奥田 将生,9
上用 みどり,沼田 美子代,9
奥田 将生,髙橋 圭,9
三上 重明,上用 みどり,9
三上 重明,後藤 奈美,9
小関 卓也,橋爪 克己,8
上用 みどり,福田 央,8
二神 泰基,吉﨑 由美子,8
二神 泰基,髙峯 和則,8
岡崎 直人,稲橋 正明,8
二神 泰基,奥津 果優,8
神田 涼子,藤田 晃子,8
奥田 将生,小関 卓也,8
高峯 和則,鮫島 吉廣,8
木崎 康造,石川 雄章,8
石川 雄章,稲橋 正明,8
山本 英樹,高山 清子,8
水谷 政美,高山 清子,8
田口 隆信,高橋 仁,8
水谷 治,金井 宗良,8
奥田 将生,福田 央,8
岩田 博,神田 涼子,8
兎束 保之,村松 俊輔,8
藤井 一嘉,谷本 昌太,8
橋爪 克己,沼田 美子代,8
伊豆 英恵,後藤 邦康,8
橋爪 克己,荒巻 功,8
小泉 幸道,柳田 藤治,8
上用 みどり,髙橋 圭,8
吉沢 淑,小泉 武夫,7
原 昌道,岡崎 直人,7
中村 欽一,吉田 清,7
吉沢 淑,角田 潔和,7
原 昌道,小林 信也,7
福田 央,金井 宗良,7
藤田 晃子,遠藤 路子,7
岡本 竹己,齋藤 高弘,7
上用 みどり,包 紅彬,7
水谷 治,福田 央,7
柳内 敏靖,若井 芳則,7
浜地 正昭,神田 晃敬,7
古川 幸子,若井 芳則,7
上東 治彦,森山 洋憲,7
上東 治彦,永田 信治,7
若井 芳則,藤原 久志,7
小川 喜八郎,甲斐 孝憲,7
磯谷 敦子,藤田 晃子,7
磯谷 敦子,藤井 力,7
瀬戸口 眞治,緒方 新一郎,7
瀬戸口 眞治,神渡 巧,7
柳田 藤寿,高柳 勉,7
上東 治彦,加藤 麗奈,7
神渡 巧,緒方 新一郎,7
渡辺 正平,飯野 修一,7
水間 智哉,若井 芳則,7
小泉 幸道,村 清司,7
佐々木 隆浩,齋藤 高弘,7
佐野 芳仁,兎束 保之,7
中村 欽一,稲橋 正明,7
包 紅彬,奥田 将生,7
佐野 芳仁,村松 俊輔,7
包 紅彬,髙橋 圭,7
三島 秀夫,竹村 成三,7
家藤 治幸,渡部 貴志,7
大土井 律之,松本 英之,7
米元 俊一,藤井 信,7
大土井 律之,谷本 昌太,7
山本 英樹,越智 洋,6
佐々木 隆浩,藉原 昌司,6
産本 弘之,福田 典雄,6
水谷 政美,越智 洋,6
杉江 正美,藉原 昌司,6
柳田 藤寿,篠原 隆,6
木崎 康造,武藤 貴史,6
後藤 奈美,橋爪 克己,6
杉江 正美,齋藤 高弘,6
岡本 竹己,志賀 徹,6
上用 みどり,橋爪 克己,6
岩野 君夫,椎木 敏,6
内田 正裕,大屋敷 春夫,6
藤井 信,高峯 和則,6
木崎 康造,荒巻 功,6
中田 久保,坂井 劭,6
佐無田 隆,園田 直,6
大土井 律之,藤井 一嘉,6
竹迫 寿一,藤井 信,6
三島 秀夫,中沢 英五郎,6
岡本 竹己,藉原 昌司,6
水野 昭博,野村 佳司,6
奥田 将生,荒巻 功,6
磯谷 敦子,遠藤 路子,6
金井 宗良,韓 錦順,6
竹田 正久,門倉 利守,6
佐藤 勉,高橋 仁,6
向井 伸彦,奥田 将生,6
三宅 剛史,伊藤 一成,6
水谷 治,韓 錦順,6
中沢 伸重,佐藤 勉,6
園田 直,西 祐馬,6
神田 涼子,遠藤 路子,6
大土井 律之,山根 雄一,6
岡崎 直人,武藤 貴史,6
竹迫 寿一,米元 俊一,6
水間 智哉,清川 良文,6
藉原 昌司,齋藤 高弘,6
山根 雄一,若林 三郎,6
園田 頼和,木田 建次,6
梶原 康博,高下 秀春,6
岩井 謙一,章 超,6
瀬戸口 眞治,高峯 和則,6
佐々木 隆浩,志賀 徹,6
上木 勝司,松田 義弘,6
岩井 謙一,河野 邦晃,6
三上 重明,椎木 敏,6
各国税局鑑定官室,国税庁鑑定企画官室,6
伊藤 俊彦,佐藤 勉,6
原 昌道,木崎 康造,6
上木 厚子,松田 義弘,6
岡崎 直人,荒巻 功,6
後藤 昭二,篠原 隆,6
原 昌道,松永 恒司,6
佐無田 隆,西 祐馬,6
家藤 治幸,藤井 力,6
武藤 貴史,石川 雄章,6
武藤 貴史,稲橋 正明,6
坂井 劭,穂坂 賢,6
佐々木 隆浩,岡本 竹己,6
小関 卓也,荒巻 功,6
中里 厚実,竹田 正久,6
上木 勝司,上木 厚子,6
岡本 竹己,杉江 正美,6
佐々木 隆浩,杉江 正美,6
佐藤 勉,岩野 君夫,6
岡崎 直人,赤尾 健,6
山根 雄一,谷本 昌太,6
工藤 哲三,水谷 政美,6
志賀 徹,齋藤 高弘,6
志賀 徹,杉江 正美,6
志賀 徹,藉原 昌司,6
内田 正裕,高山 卓美,5
佐藤 和夫,稲橋 正明,5
大屋敷 春夫,高山 卓美,5
原島 俊,金子 嘉信,5
原 昌道,古川 恵司,5
内村 泰,小崎 道雄,5
好井 久雄,山本 泰,5
吉沢 淑,岡崎 直人,5
瀬戸口 智子,瀬戸口 眞治,5
土佐 典照,堀江 修二,5
向井 伸彦,山田 修,5
角田 潔和,鈴木 昌治,5
佐藤 和夫,石川 雄章,5
神渡 巧,高峯 和則,5
五味 勝也,飯村 穣,5
甲斐 孝憲,谷村 健,5
戸塚 昭,高橋 利郎,5
谷村 健,野崎 直樹,5
三上 重明,磯谷 敦子,5
原山 文徳,安平 仁美,5
家藤 治幸,正木 和夫,5
中沢 英五郎,竹村 成三,5
三上 重明,橋爪 克己,5
村 清司,柳田 藤治,5
瀬戸口 智子,緒方 新一郎,5
大森 俊郎,高下 秀春,5
岩井 謙一,髙瀬 良和,5
原 昌道,家村 芳次,5
佐無田 隆,太田 剛雄,5
尾関 健二,本馬 健光,5
越智 洋,高山 清子,5
横塚 弘毅,福井 正一,5
瀬戸口 眞治,鮫島 吉廣,5
尾関 健二,浜地 正昭,5
横塚 弘毅,高柳 勉,5
後藤 奈美,磯谷 敦子,5
上用 みどり,向井 伸彦,5
河野 弘美,髙橋 圭,5
伊木 由香理,堀井 幸江,5
佐藤 和夫,岡崎 直人,5
吉沢 淑,蓼沼 誠,5
五味 勝也,原 昌道,5
五味 勝也,北本 勝ひこ,5
後藤 奈美,沼田 美子代,5
川北 貞夫,高橋 康次郎,5
奥田 将生,磯谷 敦子,5
三上 重明,沼田 美子代,5
甲斐 孝憲,野崎 直樹,5
三上 重明,福田 央,5
上田 次郎,神渡 巧,5
中村 智美,若井 芳則,5
古川 幸子,水間 智哉,5
平松 順一,高橋 康次郎,5
小泉 武夫,鈴木 昌治,5
木曽 邦明,野村 佳司,5
土谷 紀美,西村 賢了,5
上用 みどり,磯谷 敦子,5
上田 次郎,瀬戸口 智子,5
上田 次郎,瀬戸口 眞治,5
渡辺 誠衛,高橋 仁,5
上田 次郎,緒方 新一郎,5
山根 雄一,藤井 一嘉,5
上用 みどり,河野 弘美,5
下飯 仁,吉沢 淑,5
山根 雄一,松本 英之,5
松本 英之,谷本 昌太,5
松本 英之,藤井 一嘉,5
下飯 仁,伊藤 清,5
平松 幹雄,福田 典雄,5
小川 喜八郎,野崎 直樹,5
緒方 新一郎,高峯 和則,5
塚本 義則,大西 正男,5
柳内 敏靖,清川 良文,5
米元 俊一,高峯 和則,5
塚本 義則,後藤 英嗣,5
向井 伸彦,髙橋 圭,5
大西 正男,後藤 英嗣,5
吉澤 淑,金内 誠,5
奥田 将生,河野 弘美,5
森村 茂,稲垣 秀一郎,5
包 紅彬,河野 弘美,5
平松 幹雄,産本 弘之,5
中野 智木,竹迫 寿一,5
中野 智木,米元 俊一,5
中野 智木,藤井 信,5
中西 載慶,徳田 宏晴,5
渡辺 誠衛,田口 隆信,5
渡部 貴志,藤井 力,5
周 延,福田 央,5
小川 喜八郎,谷村 健,5
吉沢 淑,進藤 斉,5
木田 建次,稲垣 秀一郎,5
佐々木 清祐,福田 秀雄,5
岩田 博,遠藤 路子,5
吉井 美華,荒巻 功,5
章 超,髙瀬 良和,5
佐々木 清祐,岩瀬 利徳,5
岩田 博,藤田 晃子,5
山本 晉平,枝広 知新,5
本馬 健光,神田 晃敬,5
中川 優,木田 建次,5
古川 恵司,松永 恒司,5
岩瀬 利徳,福田 秀雄,5
伊木 由香理,後藤 邦康,5
正木 和夫,田中 未来,4
武田 穣,鈴木 市郎,4
林 幸男,甲斐 孝憲,4
吉村 俊祐,荻窪 哲也,4
又重 英一,高橋 広子,4
園田 頼和,西村 賢了,4
三上 隆司,谷本 昌太,4
三島 秀夫,近藤 恭一,4
吉村 俊祐,甲斐 孝憲,4
林 幸男,水光 正仁,4
