L1,L2,L3,aliases
酒類・調味酒（製品）,清酒,,日本酒|清酒
酒類・調味酒（製品）,ビール,,ビール
酒類・調味酒（製品）,ワイン,,ワイン
酒類・調味酒（製品）,焼酎・蒸留酒,,焼酎|蒸留酒|スピリッツ
酒類・調味酒（製品）,味醂・リキュール,,味醂|リキュール
原料・副産物,酒粕,,酒粕
原料・副産物,その他食品,,発酵食品|関連食品
微生物,麹菌,,麹菌|Aspergillus|A. oryzae
微生物,酵母,,酵母|Saccharomyces
微生物,乳酸菌,,乳酸菌|Lactobacillus
化学成分,アミノ酸,,アミノ酸|amino acid
化学成分,有機酸,,有機酸|酸組成|organic acid
化学成分,糖類,,糖類|sugar
化学成分,香気成分,,香気|揮発性化合物|volatile
化学成分,ペプチド・タンパク質,,ペプチド|タンパク質|peptide|protein
化学成分,無機成分,,ミネラル|無機成分|mineral
製造環境・資材,水,,水
製造環境・資材,製造環境,,環境|温度|湿度
製造環境・資材,容器・包装,,容器|瓶|缶|包装
その他,その他,,その他
